RaceName_name,City,State,RaceName_Date,,,,,,,,
Quarry Turkey Half Marathon,Fremont, CA,2017-11-25,,,,,,,,
Running off the Turkey,Long Beach, CA,2017-11-25,,,,,,,,
Santa Barbara Red Rock 50 & Marathon,Santa Barbara, CA,2017-11-25,,,,,,,,
Turkey Trot Half Marathon,Long Beach, CA,2017-11-25,,,,,,,,
Giving Thanks Half Marathon,Los Angeles, CA,2017-11-26,,,,,,,,
Thanksgiving Weekend Marathon,Long Beach, CA,2017-11-26,,,,,,,,
Calero Park Run,San Jose, CA,2017-12-02,,,,,,,,
Peacock Gap Trail Run,San Rafael, CA,2017-12-02,,,,,,,,
Rock The Coast,Long Beach, CA,2017-12-02,,,,,,,,
Back To The Bay,Long Beach, CA,2017-12-03,,,,,,,,
Elves on Trails 5K and Half Marathon,San Juan Capistrano, CA,2017-12-03,,,,,,,,
Holly Jolly Half Marathon,Camarillo, CA,2017-12-03,,,,,,,,
Amana Colonies Back Road Half Marathon,amana, IA,2017-08-05,,,,,,,,
Restoration Run,Hampton, IA,2017-08-26,,,,,,,,
Step Up Storm Lake,Storm Lake, IA,2017-09-02,,,,,,,,
NewBo Run,Cedar Rapids, IA,2017-09-03,,,,,,,,
Dubuque Benefit Classic,Dubuque, IA,2017-09-04,,,,,,,,
Park to Park Half Marathon,Waterloo, IA,2017-09-09,,,,,,,,
Wabash Trace Marathon,Shenandoah, IA,2017-09-09,,,,,,,,
Clinton Half Marathon,Clinton, IA,2017-09-10,,,,,,,,
Loop de Loop Half Marathon,Decorah, IA,2017-09-30,,,,,,,,
12:1 Run,Danville, IA,2017-10-07,,,,,,,,
IMT Des Moines Marathon,Des Moines, IA,2017-10-15,,,,,,,,
Run for the Schools,Iowa City, IA,2017-10-15,,,,,,,,
Three Rivers Trail Run,Humboldt, IA,2017-10-21,,,,,,,,
Hillbilly Hike Half Marathon,Carlisle, IA,2017-11-04,,,,,,,,
Des Moines Hungry Turkey Run,Des Moines, IA,2017-11-25,,,,,,,,
Kewash Trail Half Marathon,Washington, IA,2018-04-21,,,,,,,,
Dam to Dam,Des Moines, IA,2018-06-02,,,,,,,,
