RaceName_name,City,State,RaceName_Date,,,,,,,,
Catherine Creek Classic,Union, OR,2017-08-05,,,,,,,,
Crawfish Crawl,Tualatin, OR,2017-08-05,,,,,,,,
Huckleberry Half,Welches, OR,2017-08-05,,,,,,,,
Sunset on the Springwater,Portland, OR,2017-08-05,,,,,,,,
Haulin' Aspen Trail Marathon,Bend, OR,2017-08-12,,,,,,,,
ORRC Garlic Festival Half Marathon,North Plains, OR,2017-08-12,,,,,,,,
Bridge of the Gods Half Marathon,Cascade Locks, OR,2017-08-13,,,,,,,,
Monkey Face Half Marathon,Terrebonne, OR,2017-08-19,,,,,,,,
Canby Dahlia Run,Canby, OR,2017-08-26,,,,,,,,
Hero-Up Half-Marathon,Tigard, OR,2017-09-02,,,,,,,,
Northwest Series - Day 1 OR,Pendleton, OR,2017-09-02,,,,,,,,
Sunset Bay Trail Runs,Charleston, OR,2017-09-02,,,,,,,,
Moore Mountain Trail Run,Klamath Falls, OR,2017-09-03,,,,,,,,
Northwest Series - Day 2 OR,Pendleton, OR,2017-09-03,,,,,,,,
Oregon Wine Country Half Marathon,Carlton, OR,2017-09-03,,,,,,,,
Sunriver Half Marathon for a Cause,Sunriver, OR,2017-09-03,,,,,,,,
Oregon State Penitentiary 5K/10K - September,Salem, OR,2017-09-08,,,,,,,,
Oregon Fall Half Marathon,Canby, OR,2017-09-09,,,,,,,,
Timothy Lake Half Marathon,Government Camp, OR,2017-09-09,,,,,,,,
Lake of the Woods Half Marathon,Klamath Falls, OR,2017-09-10,,,,,,,,
Bridge of the Goddess Half Marathon,Cascade Locks, OR,2017-09-16,,,,,,,,
Oktoberfest Road Race,Mt. Angel, OR,2017-09-16,,,,,,,,
Twisted Pine Run,Newport, OR,2017-09-16,,,,,,,,
"Boring Marathon, Half-Boring Half, and 8K",Boring, OR,2017-09-17,,,,,,,,
High Alpine Half,Bend, OR,2017-09-17,,,,,,,,
Country Girl Half Marathon,Portland, OR,2017-09-23,,,,,,,,
Florence Half Marathon,Florence, OR,2017-09-24,,,,,,,,
Pints to Pasta Half Marathon,Portland, OR,2017-09-24,,,,,,,,
Charleston Salmon Run,Coos Bay, OR,2017-10-07,,,,,,,,
Oregon Women's Half Marathon,Eugene, OR,2017-10-08,,,,,,,,
Portland Marathon,Portland, OR,2017-10-08,,,,,,,,
Bay to Brews Half Marathon,Newport, OR,2017-10-14,,,,,,,,
SD's Down and Dirty Half Run,Bend, OR,2017-10-15,,,,,,,,
Runaway Pumpkin Half Marathon,Lebanon, OR,2017-10-21,,,,,,,,
Columbia Gorge Marathon and Half,Hood River, OR,2017-10-22,,,,,,,,
Run Like Hell Portland Half Marathon,Portland, OR,2017-10-22,,,,,,,,
Grants Pass Half Marathon,Grants Pass, OR,2017-10-28,,,,,,,,
Happy Girls Sisters Run,Sisters, OR,2017-11-04,,,,,,,,
Silver Falls Trail Runs,Silverton, OR,2017-11-05,,,,,,,,
Hoodoo Challenge: Run to the Top,Sisters, OR,2017-07-29,,,,,,,,
Catherine Creek Classic,Union, OR,2017-08-05,,,,,,,,
Crawfish Crawl,Tualatin, OR,2017-08-05,,,,,,,,
Huckleberry Half,Welches, OR,2017-08-05,,,,,,,,
Sunset on the Springwater,Portland, OR,2017-08-05,,,,,,,,
Haulin' Aspen Trail Marathon,Bend, OR,2017-08-12,,,,,,,,
ORRC Garlic Festival Half Marathon,North Plains, OR,2017-08-12,,,,,,,,
Bridge of the Gods Half Marathon,Cascade Locks, OR,2017-08-13,,,,,,,,
Monkey Face Half Marathon,Terrebonne, OR,2017-08-19,,,,,,,,
Canby Dahlia Run,Canby, OR,2017-08-26,,,,,,,,
Hero-Up Half-Marathon,Tigard, OR,2017-09-02,,,,,,,,
Northwest Series - Day 1 OR,Pendleton, OR,2017-09-02,,,,,,,,
Sunset Bay Trail Runs,Charleston, OR,2017-09-02,,,,,,,,
Moore Mountain Trail Run,Klamath Falls, OR,2017-09-03,,,,,,,,
Northwest Series - Day 2 OR,Pendleton, OR,2017-09-03,,,,,,,,
Oregon Wine Country Half Marathon,Carlton, OR,2017-09-03,,,,,,,,
Sunriver Half Marathon for a Cause,Sunriver, OR,2017-09-03,,,,,,,,
Oregon State Penitentiary 5K/10K - September,Salem, OR,2017-09-08,,,,,,,,
Oregon Fall Half Marathon,Canby, OR,2017-09-09,,,,,,,,
Timothy Lake Half Marathon,Government Camp, OR,2017-09-09,,,,,,,,
Bend Ale Run,Bend, OR,2017-11-11,,,,,,,,
Battle to the Pacific,Hammond, OR,2017-11-12,,,,,,,,
EWEB Run To Stay Warm,Eugene, OR,2017-11-19,,,,,,,,
Canyon Rumble Frozen Half,Madras, OR,2017-12-02,,,,,,,,
